Bank Name,Ticker,conml,Indeed Link,BHC_Folder_ID
"first citizens bancshares, inc.",,First Citizens BancShares Inc,https://www.indeed.com/cmp/First-Citizens-Bank-1/reviews,36
first commonwealth financial corporation,FCF,First Commonwealth Financial Corp.,https://www.indeed.com/cmp/First-Commonwealth-Financial-Corporation/reviews,113
"first community financial partners, inc.",,First Community Financial Partners Inc,https://www.indeed.com/cmp/First-Community-Bank/reviews,173
first financial bancorp,,First Financial Bancorp.,https://www.indeed.com/cmp/First-Financial-Bank/reviews,97
"first financial bankshares, inc.",FFIN,First Financial Bankshares Inc,https://www.indeed.com/cmp/First-Financial-Bank/reviews,112
first financial corporation,,First Financial Corp/IN,https://www.indeed.com/cmp/First-Financial-Corporation/reviews,144
"first financial northwest, inc.",,,https://www.indeed.com/cmp/First-Financial-Northwest-Bank/reviews,180
first financial service corporation,,First Financial Service Corp,https://www.indeed.com/cmp/First-Financial-Services/reviews,207
first horizon national corporation,FHN,First Horizon National Corp,https://www.indeed.com/cmp/First-Horizon-National-Corporation/reviews; https://www.indeed.com/cmp/First-Horizon-Bank/reviews,41
first internet bancorp,,First Internet Bancorp,https://www.indeed.com/cmp/First-Internet-Bank/reviews,157
"first interstate bancsystem, inc.",FIBK,First Interstate BancSystem Inc,https://www.indeed.com/cmp/First-Interstate-Bank/reviews,91
first m & f corporation,,First M & F Corp,,206
first mariner bancorp,,First Mariner Bancorp,https://www.indeed.com/cmp/First-Mariner-Bank/reviews,200
first merchants corporation,FRME,First Merchants Corp,https://www.indeed.com/cmp/First-Merchants-Bank/reviews,107
"first midwest bancorp, inc.",FMBI,First Midwest Bancorp Inc,https://www.indeed.com/cmp/First-Midwest-Bank,77
"first national bankshares of florida, inc.",,,https://www.indeed.com/cmp/First-National-Bank-of-Florida/reviews,282
"first niagara financial group, inc.",,First Niagara Financial Group Inc,https://www.indeed.com/cmp/First-Niagara-Bank-Key-Bank-1/reviews,182
first republic bank,FRC,,https://www.indeed.com/cmp/First-Republic-Bank/reviews,
